batch,condition,temp_c,rh,time_months,attribute,value,lower_spec,upper_spec
B1,30C/65RH,30,65,0.0,assay,100.18,90,110
B1,30C/65RH,30,65,1.0,assay,99.92,90,110
B1,30C/65RH,30,65,3.0,assay,94.08,90,110
B1,30C/65RH,30,65,6.0,assay,88.21,90,110
B2,30C/65RH,30,65,0.0,assay,99.73,90,110
B2,30C/65RH,30,65,1.0,assay,99.45,90,110
B2,30C/65RH,30,65,3.0,assay,93.81,90,110
B2,30C/65RH,30,65,6.0,assay,87.93,90,110
B3,30C/65RH,30,65,0.0,assay,100.39,90,110
B3,30C/65RH,30,65,1.0,assay,100.13,90,110
B3,30C/65RH,30,65,3.0,assay,94.21,90,110
B3,30C/65RH,30,65,6.0,assay,88.34,90,110
