batch,condition,temp_c,rh,time_months,attribute,value,lower_spec,upper_spec
B1,30C/65RH,30,65,0.0,assay,100.21,90,110
B1,30C/65RH,30,65,3.0,assay,100.13,90,110
B1,30C/65RH,30,65,6.0,assay,100.05,90,110
B1,30C/65RH,30,65,9.0,assay,100.02,90,110
B2,30C/65RH,30,65,0.0,assay,99.78,90,110
B2,30C/65RH,30,65,3.0,assay,99.71,90,110
B2,30C/65RH,30,65,6.0,assay,99.64,90,110
B2,30C/65RH,30,65,9.0,assay,99.59,90,110
B3,30C/65RH,30,65,0.0,assay,100.42,90,110
B3,30C/65RH,30,65,3.0,assay,100.35,90,110
B3,30C/65RH,30,65,6.0,assay,100.28,90,110
B3,30C/65RH,30,65,9.0,assay,100.22,90,110
