batch,condition,temp_c,rh,time_months,attribute,value,lower_spec,upper_spec
B1,25C/60RH,25,60,0.0,assay,100.10,90,110
B1,25C/60RH,25,60,3.0,assay,99.21,90,110
B1,25C/60RH,25,60,6.0,assay,98.33,90,110
B1,25C/60RH,25,60,9.0,assay,97.41,90,110
B1,25C/60RH,25,60,12.0,assay,96.49,90,110
B2,25C/60RH,25,60,0.0,assay,99.72,90,110
B2,25C/60RH,25,60,3.0,assay,98.79,90,110
B2,25C/60RH,25,60,6.0,assay,97.91,90,110
B2,25C/60RH,25,60,9.0,assay,97.02,90,110
B2,25C/60RH,25,60,12.0,assay,96.10,90,110
B3,25C/60RH,25,60,0.0,assay,100.39,90,110
B3,25C/60RH,25,60,3.0,assay,99.50,90,110
B3,25C/60RH,25,60,6.0,assay,98.62,90,110
B3,25C/60RH,25,60,9.0,assay,97.71,90,110
B3,25C/60RH,25,60,12.0,assay,96.83,90,110
