batch,condition,time_months,attribute,value,lower_spec,upper_spec,direction
B1,25C/60RH,0.0,assay,99.577,90.0,110.0,decreasing
B1,25C/60RH,0.0,assay,99.882,90.0,110.0,decreasing
B1,25C/60RH,3.0,assay,98.5589,90.0,110.0,decreasing
B1,25C/60RH,3.0,assay,98.7094,90.0,110.0,decreasing
B1,25C/60RH,6.0,assay,97.1429,90.0,110.0,decreasing
B1,25C/60RH,6.0,assay,97.2589,90.0,110.0,decreasing
B1,25C/60RH,12.0,assay,94.0421,90.0,110.0,decreasing
B1,25C/60RH,12.0,assay,93.7147,90.0,110.0,decreasing
B2,25C/60RH,0.0,assay,98.914,90.0,110.0,decreasing
B2,25C/60RH,0.0,assay,99.0149,90.0,110.0,decreasing
B2,25C/60RH,3.0,assay,97.8971,90.0,110.0,decreasing
B2,25C/60RH,3.0,assay,97.6086,90.0,110.0,decreasing
B2,25C/60RH,6.0,assay,96.2429,90.0,110.0,decreasing
B2,25C/60RH,6.0,assay,95.9137,90.0,110.0,decreasing
B2,25C/60RH,12.0,assay,92.5475,90.0,110.0,decreasing
B2,25C/60RH,12.0,assay,92.9103,90.0,110.0,decreasing
B3,25C/60RH,0.0,assay,100.7397,90.0,110.0,decreasing
B3,25C/60RH,0.0,assay,101.1384,90.0,110.0,decreasing
B3,25C/60RH,3.0,assay,99.2892,90.0,110.0,decreasing
B3,25C/60RH,3.0,assay,99.0348,90.0,110.0,decreasing
B3,25C/60RH,6.0,assay,97.8701,90.0,110.0,decreasing
B3,25C/60RH,6.0,assay,97.6149,90.0,110.0,decreasing
B3,25C/60RH,12.0,assay,95.1194,90.0,110.0,decreasing
B3,25C/60RH,12.0,assay,95.1555,90.0,110.0,decreasing
B1,25C/60RH,0.0,impurity_a,0.0438,,0.5,increasing
B1,25C/60RH,0.0,impurity_a,0.05606,,0.5,increasing
B1,25C/60RH,3.0,impurity_a,0.19907,,0.5,increasing
B1,25C/60RH,3.0,impurity_a,0.2013,,0.5,increasing
B1,25C/60RH,6.0,impurity_a,0.33904,,0.5,increasing
B1,25C/60RH,6.0,impurity_a,0.34961,,0.5,increasing
B1,25C/60RH,12.0,impurity_a,0.6513,,0.5,increasing
B1,25C/60RH,12.0,impurity_a,0.64877,,0.5,increasing
B2,25C/60RH,0.0,impurity_a,0.10232,,0.5,increasing
B2,25C/60RH,0.0,impurity_a,0.10058,,0.5,increasing
B2,25C/60RH,3.0,impurity_a,0.24909,,0.5,increasing
B2,25C/60RH,3.0,impurity_a,0.24745,,0.5,increasing
B2,25C/60RH,6.0,impurity_a,0.41003,,0.5,increasing
B2,25C/60RH,6.0,impurity_a,0.40505,,0.5,increasing
B2,25C/60RH,12.0,impurity_a,0.69559,,0.5,increasing
B2,25C/60RH,12.0,impurity_a,0.69645,,0.5,increasing
B3,25C/60RH,0.0,impurity_a,0.04155,,0.5,increasing
B3,25C/60RH,0.0,impurity_a,0.03441,,0.5,increasing
B3,25C/60RH,3.0,impurity_a,0.18661,,0.5,increasing
B3,25C/60RH,3.0,impurity_a,0.18653,,0.5,increasing
B3,25C/60RH,6.0,impurity_a,0.32824,,0.5,increasing
B3,25C/60RH,6.0,impurity_a,0.32871,,0.5,increasing
B3,25C/60RH,12.0,impurity_a,0.6222,,0.5,increasing
B3,25C/60RH,12.0,impurity_a,0.62601,,0.5,increasing
